Using device: mps
Number of classes: 657
Train batches: 1827
Val batches: 203

===== Epoch 1/20 =====
  Train Batch [1000/1827] | Loss: 0.7662 | Top1: 0.7887 | Top5: 0.9524
  Train Batch [1050/1827] | Loss: 0.7696 | Top1: 0.7876 | Top5: 0.9524
  Train Batch [1100/1827] | Loss: 0.7739 | Top1: 0.7867 | Top5: 0.9518
  Train Batch [1150/1827] | Loss: 0.7750 | Top1: 0.7864 | Top5: 0.9517
  Train Batch [1200/1827] | Loss: 0.7782 | Top1: 0.7859 | Top5: 0.9514
  Train Batch [1250/1827] | Loss: 0.7820 | Top1: 0.7847 | Top5: 0.9508
  Train Batch [1300/1827] | Loss: 0.7844 | Top1: 0.7842 | Top5: 0.9506
  Train Batch [1350/1827] | Loss: 0.7857 | Top1: 0.7839 | Top5: 0.9505
  Train Batch [1400/1827] | Loss: 0.7886 | Top1: 0.7829 | Top5: 0.9502
  Train Batch [1450/1827] | Loss: 0.7926 | Top1: 0.7819 | Top5: 0.9497
  Train Batch [1500/1827] | Loss: 0.7929 | Top1: 0.7818 | Top5: 0.9497
  Train Batch [1550/1827] | Loss: 0.7928 | Top1: 0.7816 | Top5: 0.9498
  Train Batch [1600/1827] | Loss: 0.7966 | Top1: 0.7807 | Top5: 0.9491
  Train Batch [1650/1827] | Loss: 0.7994 | Top1: 0.7797 | Top5: 0.9487
  Train Batch [1700/1827] | Loss: 0.8030 | Top1: 0.7787 | Top5: 0.9483
  Train Batch [1750/1827] | Loss: 0.8029 | Top1: 0.7787 | Top5: 0.9481
  Train Batch [1800/1827] | Loss: 0.8053 | Top1: 0.7781 | Top5: 0.9479
  Train Batch [1827/1827] | Loss: 0.8076 | Top1: 0.7778 | Top5: 0.9476
  Val Batch [50/203] | Loss: 1.6572 | Top1: 0.6212 | Top5: 0.8556
  Val Batch [100/203] | Loss: 1.6361 | Top1: 0.6300 | Top5: 0.8550
  Val Batch [150/203] | Loss: 1.6564 | Top1: 0.6271 | Top5: 0.8525
  Val Batch [200/203] | Loss: 1.6661 | Top1: 0.6261 | Top5: 0.8502
  Val Batch [203/203] | Loss: 1.6690 | Top1: 0.6255 | Top5: 0.8503
Epoch [5/20] | Train Loss: 0.8076 | Train Top1: 0.7778 | Train Top5: 0.9476 | Val Loss: 1.6690 | Val Top1: 0.6255 | Val Top5: 0.8503

